a.m.	[ˌeɪ ˈem] abbr. 上午，午前; 
tendency	[ˈtendənsi, ˈtɛndənsi] n. 倾向，趋势 
tender	[ˈtɛndɚ, ˈtendə(r)] adj. 温柔的 n. 投标 vt. 正式提出 
tennis	['tenɪs, ˈtenɪs] n. 网球（运动） 
tense	[tens, tɛns] adj. 拉紧的 n. [语]时，时态 v. 使或变的紧张 
tent	[tɛnt, tent] n. 帐篷 vi. 住帐蓬 vt. 用帐蓬遮盖 
term	[tɜ:m, tɜ:rm] n. 术语;期限 vt. 把…称为;把…叫做 
terminal	[ˈtɜ:rmɪnl, ˈtɜ:mɪnl] adj. 末端的;末期的 n. 终端;终点站 
terrible	[ˈterəbl, ˈtɛrəbəl] adj. 可怕的 adv. 口〉非常，很，极 n. 可怕的人 
territory	[ˈterətɔ:ri, ˈterətri] n. 领地 
terror	[ˈtɛrɚ, ˈterə(r)] n. 恐怖 
test	[test] n. 试验 vt. 测验 vi. 受试验 
text	[tekst, tɛkst] n. 文本，原文;课文，教科书 v. 发短信 
textbook	[ˈtekstbʊk, ˈtɛkstˌbʊk] n. 教材;教科书 adj. 规范的;标准的 
than	[ðən] conj. 比（用于比较级）;宁愿…而不愿 prep. 比;超过 
thank	[θæŋk] vt. 谢谢，感谢;责怪，把…归于 n. 感谢，谢谢，道谢的话 
Thanksgiving	[ˌθæŋks'ɡɪvɪŋ, θæŋksˈɡɪvɪŋ] n. 感恩节 
that	[ðæt, ðæt, ðət] det. 那个，那 pron. 那个，那 conj. 多么 adv. 不那么 
the	[ðə] art. 指已提到的人（物） 
theater	['θɪətə, ˈθi:ətər] n. 剧场 
theft	[θɛft, θeft] n. 偷盗，偷窃 
their	[ðer, ðeə(r)] pron. 他（她，它）们的 
theirs	[ðeəz, ðerz] pron. 他们的 
them	[ðəm] pron. 他们 
theme	[θi:m, θim] n. [乐]主题;主旋律 adj. 以奇想主题布置的 
themselves	[ðəmˈselvz, ðɛmˈsɛlvz, ðəm-] pron. 他[她，它]们自己 
then	[ðɛn, ðen] adv. 然后;那么 adj. 当时的;那时的 
theory	[ˈθɪəri, ˈθɪri] n. 理论 
there	[ðer, ðeə(r)] adv. 那里 pron. 表示某物或某人的存在或某事的发生（常用作be
therefore	[ˈðeəfɔ:(r), ˈðerfɔ:(r)] adv. 因此 
these	[ðiz, ði:z] adj. 这些的 pron. 这些 
they	[ðe, ðeɪ] pron. 她们 
thick	[θɪk] adj. 浓的，茂密的 adv. 密集地 n. 最厚的部分 
thief	[θi:f, θif] n. 小偷，盗贼 
thin	[θɪn] adj. 薄的 vt. 使瘦 vi. 变薄 adv. 稀疏地，微弱地 
thing	[θɪŋ] n. 事件，形势 
think	[θɪŋk] vt. 想 vi. 考虑 adj. 深思的 n. 想 
thinking	[ˈθɪŋkɪŋ] n. 思考 adj. 有思想的 v. “think”的现在分词 
third	[θɜ:rd, θɜ:d] n. 第三;三分之一 adj. 第三的;三分之一的 
thirdly	[ˈθɜ:dli, ˈθɜ:rdli] adv. 第三 
thirst	[θɜ:rst, θɜ:st] n. （口）渴;渴感 vi. 口渴;渴望 
thirsty	[ˈθɜ:sti, ˈθɜ:rsti] adj. 口渴的 
thirteen	[ˌθɜ:rˈti:n, ˌθɜ:ˈti:n] n. 十三 num. 十三 adj. 十三的，十三个的 
thirty	[ˈθɜ:rti, ˈθɜ:ti] n. 三十 adj. 三十的，三十个的 num. 三十 
this	[ðɪs] pron. 这，这个 adj. 这，这个 adv. 这样地 
thorough	[ˈθʌrə, ˈθɜ:roʊ] adj. 彻底的，全面的，充分的，彻头彻尾的，根本的，详尽的，严密的 prep. 〈古〉同“through” n. [英史]专横政策 
those	[ðoʊz, ðəʊz] adj.&pron. that的复数 adj. 那些的，那 n. 那，那个( that的名词复数) 
though	[ðoʊ, ðəʊ] conj. 即使 adv. 不过 prep. 但 
thought	[θɔt, θɔ:t] n. 思想;想法 v. 认为;以为 
thoughtful	[ˈθɔ:tfl, ˈθɔtfəl] adj. 体贴的 
thousand	[ˈθaʊznd, ˈθaʊzənd] n. 一千;数千 adj. 一千的;一千个的 
thread	[θrɛd, θred] n. 螺纹;线 vt. 穿成串;将（针、线等）穿过… 
threat	[θrɛt, θret] n. 威胁 
threaten	[ˈθrɛtn, ˈθretn] vt.&vi. 危及;恐吓 vi. 威胁;似将发生 
three	[θri:, θri] num. 三 n. 三岁 adj. 三的 
thrill	[θrɪl] vt. 使激动 vi. 由于兴奋或激动而感到一种突然的颤动 n. [病]震颤 
throat	[θrəʊt, θroʊt] n. 咽喉;颈前部 vt. 用沙哑的声音或嗓音发音 
throne	[θroʊn, θrəʊn] n. 宝座 vi. 登上王座 vt. 使即王位，使登基 
through	[θru:, θru] prep. 透过 adv. 从头到尾 adj. （电话）接通 
throughout	[θru:ˈaʊt,  θruˈaʊt] prep. （表示时间）自始至终;在…期间 adv. 始终;处处 
throw	[θrəʊ, θroʊ] vi. 丢 n. 丢 vt. 抛 
thrust	[θrʌst] vt.&vi. 猛推 n. 推力 vi. 插入 
thumb	[θʌm] n. 拇指 vi. 翘起拇指请求搭乘（过路汽车），示意请求搭便车 vt. 翻阅 
thunder	[ˈθʌndə(r), ˈθʌndɚ] n. 雷声 vi. 打雷 vt.&vi. 发出隆隆声 
Thursday	[ˈθɜ:rzdeɪ, ˈθɜ:zdeɪ] n. 星期四，礼拜四，周四 
thus	[ðʌs] adv. 于是，因此;如此，这样，像这样，例如 conj. 因此 
tick	[tɪk] n. 壁虱;钩号 v. 发出滴答声;在（纸）上打钩 
ticket	[ˈtɪkɪt] n. 票，入场券;标签 vt. 售票;给…门票 
tide	[taɪd] n. 潮汐;潮流，趋势 vt. 顺应潮水航行;使随潮水漂行 
tidy	[ˈtaɪdi] adj. 整洁的，整齐的 n. 盛零碎物品的容器 vt.&vi. 使整洁 
tie	[taɪ] n. 关系 vt. （用线、绳等）系 vi. 打结，系上 
tiger	[ˈtaɪɡɚ, ˈtaɪgə(r)] n. 老虎 
tight	[taɪt] adj. 紧的，牢固的;绷紧的 adv. 紧紧地;牢固地 
tile	[taɪl] n. 瓦片，瓷砖;空心砖 vt. 用瓦片、瓷砖等覆盖 
till	[tɪl] conj. 直到…时（为止） vt. 耕种 n. 钱柜，钱箱 prep. 直到 
timber	[ˈtɪmbɚ, ˈtɪmbə(r)] n. 木材，木料;（用于建筑或制作物品的）树木 vt. 用木料支撑;备以木材 
time	[taɪm] n. 时间 vt. 为…安排时间 vi. 合拍 adj. 定时的 int. [体育]时间到，（一场或一局等的）比赛时限，暂停 
time-saving	[taɪm ˈsevɪŋ, taim ˈseiviŋ] adj. 节省时间的 
timetable	[ˈtaɪmteɪbl, ˈtaɪmˌtebəl] n. 计划;交通工具的运行时间表，时刻表 vi. 为…安排时间 
tin	[tɪn] n. 锡 adj. 锡制的 vt. 镀锡，包锡 
tiny	[ˈtaɪni] adj. 极小的，微小的 n. 小孩子;[医]癣 
tip	[tɪp] n. 小费 vt. 给小费 vi. 给小费 
tire	[ˈtaɪə(r), taɪr] vt. 使…疲惫 vi. 疲劳 n. 轮胎 
tired	[ˈtaɪərd, ˈtaɪəd] adj. 疲倦的;困倦的 v. （使）疲劳（ tire的过去式和过去分词）;对（做）某事感到厌倦 
title	[ˈtaɪtl] n. 标题 vt. 加标题 adj. 标题的 
to	[tu,tə, tə] prep. 到;向，朝着 adv. 朝一个方向的;到某种状态 
toast	[toʊst, təʊst] n. 烤面包 vt.&vi. 向…祝酒，为…干杯 vi. 烤火，取暖 
tobacco	[təˈbækoʊ, təˈbækəʊ] n. 卷烟 
today	[təˈdeɪ, təˈde] adv. 现在;现今 n. 现今;今天，今日 
toe	[təʊ, toʊ] n. 脚趾，脚尖 vt. 用脚尖触 vi. 动脚尖 
together	[təˈɡɛðɚ, təˈgeðə(r)] adv. 在一起;同时 adj. 稳定可靠的;做事有效率的 
toilet	[ˈtɔɪlət, 'tɔɪlət] n. 洗手间 
tolerate	[ˈtɒləreɪt, ˈtɑ:ləreɪt] vt. 忍受 
tomato	[təˈmɑ:təʊ, təˈmeɪtoʊ] n. 番茄，西红柿 
tomb	[tum, tu:m] n. 坟墓;墓穴 v. 埋葬 
tomorrow	[təˈmɒrəʊ, təˈmɑ:roʊ] adv. 在明天，在明日 n. 明天;最近，不远的将来 
ton	[tʌn] n. 吨 
tone	[təʊn, toʊn] n. [语]声调，语调 vt. 使更健壮 vi. 带有某种腔调 
tongue	[tʌŋ] n. 舌头，喙 vt. 用舌吹 vi. 吹奏（管乐器） 
tonight	[təˈnaɪt] n. 今晚，今夜 adv. 在今晚 
too	[tu:] adv. 太 
tool	[tu:l, tul] n. 器具，工具 vt. 用工具给…加工 vi. 使用工具 
tooth	[tu:θ, tuθ] n. 齿 vt. 给…装齿 vi. 啮合 
top	[tɑ:p, tɒp] n. 顶，顶部 adj. 最高的 vt. 形成顶部 vi. 总结 
topic	[ˈtɒpɪk, ˈtɑ:pɪk] n. 主题 
torch	[tɔ:tʃ, tɔ:rtʃ] n. 手电筒;火把，火炬 vt.&vi. 放火烧，纵火烧（建筑物或汽车） 
toss	[tɒs, tɔ:s] vt.&vi. （轻轻或漫不经心地）扔;（使）摇荡 n. 掷硬币决定;向上甩头 
total	[ˈtəʊtl, ˈtoʊtl] adj. 总计的（金额等） n. 总计，总数 vt.&vi. 总计达，计算…的总数 
touch	[tʌtʃ] vt. 触摸 n. 触摸，碰 vi. 联系 
tough	[tʌf] adj. 坚强的，坚韧的，不屈不挠的 n. 粗暴的人 vt. <口>忍耐，忍受（常与out连用） adv. 强硬地，顽强地 
tour	[tʊr, tʊə(r)] n. 巡回演出 vt. 到…旅游 vi. 巡回 
tourist	[ˈtʊrɪst, ˈtʊərɪst] n. 旅行者，观光客 
tow	[təʊ, toʊ] vt. 牵引;拖，拉 n. 拖曳的行为或情况;被拖曳的某物 
towards	[təˈwɔ:dz, tɔ:rdz] prep. 对于 
towel	[ˈtaʊəl] n. 纸巾 vt. 用毛巾擦 vi. 用毛巾擦干身体 
tower	[ˈtaʊə(r), ˈtaʊɚ] n. 塔，楼塔 vi. 远远高于，远远超过 na. “Towers“的变体 
town	[taʊn] n. 城镇，市镇 
toy	[tɔɪ] n. 玩具，玩物 vi. 玩弄 adj. 玩具的 
trace	[treɪs, tres] vt. 跟踪，追踪 vi. 沿着一小径或道路前进 n. 痕迹 
track	[træk] n. 小路，小道 vt. 跟踪 vi. 沿着轨道前进 
tractor	[ˈtræktə(r), ˈtræktɚ] n. 拖拉机 
trade	[treɪd, treid] n. 贸易 vt.&vi. 交易，经商 vt. 交换 vi. 贸易 
trademark	[ˈtreɪdmɑ:k, ˈtreɪdmɑ:rk] n. （注册）商标 
tradition	[trəˈdɪʃn, trəˈdɪʃən] n. 传统 
traffic	[ˈtræfɪk] n. 交通，运输量 vt. 用…作交换 vi. 交易 
tragedy	[ˈtrædʒɪdi, ˈtrædʒədi] n. 悲剧，惨剧 
trail	[treɪl, trel] vt. 跟踪，追踪 vi. （在比赛等中）输 n. 小径 
train	[tren, treɪn] n. 火车;行列 v. 训练;培养 
training	[ˈtrenɪŋ, ˈtreɪnɪŋ] n. 训练;培养 v. 训练，培养( train的现在分词);教育 
traitor	[ˈtreɪtə(r), ˈtretɚ] n. 叛徒 
transfer	[trænsˈfɜ:(r), trænsˈfɚ] vt. 使转移 vi. 转让 n. 转移 
translate	[trænsˈleɪt, trænsˈlet, trænz-, ˈtrænsˌlet, ˈtrænz-] vt.&vi. 翻译 
translation	[trænsˈleʃən, trænz-, trænsˈleɪʃn] n. 翻译 
transport	[ˈtrænspɔ:t, ˈtrænspɔ:rt] vt. 运送，运输;流放 n. 运输;运输船（机），运输系统 
trap	[træp] vt. 诱骗 n. 圈套 vi. 设陷阱 
travel	[ˈtrævl, ˈtrævəl] n. 旅行 vi. 旅行 vt. 经过，通过 
traveller	[ˈtræv(ə)lər, 'trævələ(r)] n. 旅行者，旅客 
treasure	[ˈtreʒə(r), ˈtrɛʒɚ] n. 宝藏;珍宝 vt. 珍惜;重视 
treat	[tri:t, trit] n. 招待;款待 v. 治疗;对待 
treatment	[ˈtri:tmənt, ˈtritmənt] n. 处理 
treaty	[ˈtri:ti, ˈtriti] n. 条约 
tree	[tri:, tri] n. 树;木料 vt. 把…赶上树;使处于困境 
tremble	[ˈtrembl, ˈtrɛmbəl] vi. 发抖 n. 战栗 vt. 使挥动 
tremendous	[trəˈmendəs, trɪˈmɛndəs] adj. 极大的，巨大的 
trend	[trɛnd, trend] n. 趋向;走向 vi. 趋势;倾向 
trial	[ˈtraɪəl, ˈtraɪəl, traɪl] n. 试验;[法]审讯，审判 adj. 试验的;[法]审讯的 
triangle	[ˈtraɪæŋgl, ˈtraɪˌæŋɡəl] n. 三角形 
tribe	[traɪb] n. 部落，部族 
trick	[trɪk] n. 恶作剧 vt. 哄骗，欺骗 adj. 弄虚作假的 
trim	[trɪm] vt. 装饰 adj. 整齐的，整洁的 n. 修剪 vi. 削减 
trip	[trɪp] n. 旅游，出行 vi. 旅行 vt. 使犯错误 
triumph	[ˈtraɪʌmf, ˈtraɪəmf] n. 胜利;巨大的成就 vi. 战胜;获胜 
troop	[tru:p, trup] n. 军队 vi. 成群结队地走 vt. 把（骑兵）编成骑兵连 
tropical	[ˈtrɑ:pɪkl, ˈtrɒpɪkl] adj. 热带的 
trouble	[ˈtrʌbəl, ˈtrʌbl] n. 麻烦 vi. 烦恼 vt. 麻烦 
trousers	[ˈtraʊzəz, ˈtraʊzərz] n. 裤子 
truck	[trʌk] n. 货车 vt. 用卡车装运 vi. 驾驶卡车 
trunk	[trʌŋk] n. 树干 
trust	[trʌst] n. 信任 vt.&vi. 相信， 信任 vt. 相信 
truth	[tru:θ, truθ] n. 真理 
try	[traɪ] vt.&vi. 试图，努力;实验 n. 尝试，实验;[橄]触球，（因触球获得的）向球门踢球的权利 
tub	[tʌb] n. 桶 vt. 把…装入桶 vi. 洗盆浴 
tube	[tju:b, tu:b] n. 管，管状物 vt. 把…装管 vi. 乘地铁 
Tuesday	[ˈtju:zdeɪ, ˈtu:zdeɪ] n. 星期二 
tumble	[ˈtʌmbl, ˈtʌmbəl] vi. 跌倒，摔倒 vt. 使跌倒 n. 摔倒 
tune	[tju:n, tu:n] n. 曲调，曲子 vt. 调整 vi. 协调 
tunnel	[ˈtʌnl, ˈtʌnəl] n. 隧道 vi. 打通隧道 vt. 在…挖掘隧道 
ture	[]  油温测量装置；介观结构 
turkey	[ˈtɜ:ki, ˈtɜ:rki] n. 火鸡 
turn	[tɜ:rn, tɜ:n] vt.&vi. 使转动 vt. 使变酸 n. 翻转 
twelfth	[twɛlfθ, twelfθ] n. 第十二;十二分之一 adj. 第十二的;第十二个的 
twelve	[twelv, twɛlv] num. 十二 adj. 十二的 n. 十二；十二个 
twentieth	['twentɪəθ, ˈtwɛntiɪθ, ˈtwʌn-] n. 二十分之一 adj. 第二十的 num. 第二十 
twenty	[ˈtwenti, ˈtwɛnti, ˈtwʌn-] n. 二十，二十个 num. 二十 adj. 二十的 
twice	[twaɪs] adv. 两次 
twin	[twɪn] n. 孪晶 vt. 尤用于英国)使结成姊妹城市 adj. 成对的 
twinkle	[ˈtwɪŋkl, ˈtwɪŋkəl] vi. 闪烁 vt. 闪闪发出 n. 闪光 
twist	[twɪst] vt. 扭成一束 vi. 被搓揉 n. 揉搓之物 
two	[tu:, tu] n. 两个 adj. 两个的 num. 两个 
type	[taɪp] n. 类型 vt.&vi. 打字 vt. [医学]测定（血型） 
typewriter	[ˈtaɪpraɪtə(r), ˈtaɪpˌraɪtɚ] n. 打字机 
typical	[ˈtɪpɪkəl, ˈtɪpɪkl] adj. 典型的 
ugly	[ˈʌɡli, ˈʌgli] adj. 丑陋的;难看的 n. 丑陋的人（东西） 
ultimate	[ˈʌltɪmət, ˈʌltəmɪt] adj. 极限的;最后的 n. 终极;顶点 
umbrella	[ʌmˈbrɛlə, ʌmˈbrelə] n. 雨伞 
unable	[ʌnˈeɪbl, ʌnˈebəl] adj. 不能的，不会的 
unanimous	[jʊˈnænəməs, juˈnænɪməs] adj. 全体一致的 
uncertain	[ʌnˈsɜ:rtn, ʌnˈsɜ:tn] adj. 不确定的 
uncle	[ˈʌŋkəl, ˈʌŋkl] n. 叔叔 
under	[ˈʌndə(r), ˈʌndɚ] prep. 在…下面，在表面之下 adv. 在下面 adj. 较低的，下面的 
undergo	[ˌʌndəˈgəʊ, ˌʌndərˈgoʊ] vt. 经历，经验 
underground	[ˈʌndərgraʊnd, ˈʌndəgraʊnd] adj. 地下的 
underneath	[ˌʌndərˈni:θ, ˌʌndəˈni:θ] adj. 下面的 adv. 在下面，在底下 prep. 在下面 n. 下部，底部 
understand	[ˌʌndərˈstænd, ˌʌndəˈstænd] vt.&vi. 懂，理解 vt. 了解;领会 
understanding	[ˌʌndərˈstændɪŋ, ˌʌndəˈstændɪŋ] vt. 谅解 vi. 理解，懂得 n. 谅解 adj. 能谅解的 
undo	[ʌnˈdu:, ʌnˈdu] vt. 松开，解开;取消，废除 vi. 撤销 
uniform	[ˈju:nɪfɔ:m, ˈju:nɪfɔ:rm] n. 制服 adj. （形状，性质等）一样的 v. 使规格一律 
union	[ˈju:niən, ˈjunjən] n. 同盟，联盟;协会，工会 adj. 工会的 
unit	[ˈju:nɪt, ˈjunɪt] n. 装置 
unite	[juˈnaɪt] vt. （使）联合，合并，统一;并有，兼备 vi. （为某事）联合，联手，团结 
united	[juˈnaɪtɪd] adj. 联合的;统一的 v. 团结;“unite”的过去式和过去分词 
unity	[ˈjunɪti, ˈju:nəti] n. 团结一致 
universal	[ˌju:nɪˈvɜ:rsl, ˌju:nɪˈvɜ:sl] adj. 普遍的，一般的;通用的，万能的 n. [逻辑学]全称命题;[哲学]一般概念 
universe	[ˈju:nɪvɜ:s, ˈju:nɪvɜ:rs] n. 宇宙 
university	[ˌju:nɪˈvɜ:rsəti, ˌju:nɪˈvɜ:səti] n. 综合性大学 
unknown	[ˌʌnˈnəʊn, ˌʌnˈnoʊn] adj. 未知的;不出名的 n. 未知数;不知名或不出名的人 
unless	[ənˈles, ʌnˈlɛs] conj. 除非，如果不 prep. 除了，…除外 
until	[ənˈtɪl, ʌnˈtɪl] prep. 到…为止;在…以前 conj. 到…为止，在…以前;直到…才 
unusual	[ʌnˈju:ʒuəl, ʌnˈjuʒuəl] adj. 与众不同的 
up	[ʌp] adv. 在上面，在高处 adj. 向上的 vt.&vi. 增加 prep. 在…的上端 n. 上升，升高 
upon	[əˈpɑ:n, əˈpɒn] prep. 在…上面 
upper	[ˈʌpə(r), ˈʌpɚ] adj. 上面的;地位较高的 n. 鞋帮，靴面;兴奋剂 
upset	[ʌpˈset, ʌpˈsɛt] vi. 打翻，弄翻 vt. 打乱，搅乱 n. 心烦意乱 adj. 沮丧的 
upstairs	[ˌʌpˈsteəz, ˌʌpˈsterz] adv. 在楼上，往楼上 adj. 楼上的 n. 楼上 
urban	[ˈɜ:rbən, ˈɜ:bən] adj. 都市的 
urge	[ɜ:rdʒ, ɜ:dʒ] vt. 催促 n. 刺激，冲动 vi. 催促 
urgent	[ˈɜ:rdʒənt, ˈɜ:dʒənt] adj. 急迫的 
us	[əs, ʌs] pron. 我们 
use	[ju:s] n. 使用 
used	[ju:st] adj. 用过的;习惯于 v. 使用（ use的过去式和过去分词）;常常，经常 
useful	[ˈjusfəl, ˈju:sfl] adj. 有用的，有益的，有帮助的 
usual	[ˈjuʒuəl, ˈju:ʒuəl] adj. 通常的，常有的，常见的 
usually	[ˈjuːʒuəli, ˈju:ʒuəli] adv. 通常，经常，平常，惯常地 
utility	[ju:ˈtɪləti, juˈtɪləti] n. 公用事业;功用，效用 adj. 有多种用途的;各种工作都会做的 
utter	[ˈʌtə(r), ˈʌtɚ] vt. 发出声音;说，讲 adj. 彻底的，完全的，绝对的 
vacant	[ˈveɪkənt, ˈvekənt] adj. 空缺的 
vacation	[veˈkeʃən, və-, vəˈkeɪʃn] n. 假期，休假;[古] 空出，撤出，辞去 vi. 度假 
vain	[veɪn, ven] adj. 徒劳的 
valid	[ˈvælɪd] adj. 有效的 
valley	[ˈvæli] n. 流域 
valuable	[ˈvæljuəbl, ˈvæljuəbəl, ˈvæljə-] adj. 有价值的;贵重的，宝贵的 n. 贵重物品，财宝 
value	[ˈvælju, ˈvælju:] n. 价值，价格;意义，涵义 vt. 评价;重视，看重 
vanish	[ˈvænɪʃ] vi. 消失 vt. 使消失，使不见 n. [语音学]消失音，弱化音 
vanity	[ˈvænəti, ˈvænɪti] n. 自负 
variety	[vəˈraɪɪti, vəˈraɪəti] n. 多样 
various	[ˈveriəs, ˈveəriəs] adj. 各种各样的 
vary	[ˈveəri, ˈveri] vi. 变化;不同，偏离 vt. 使不同;使多样化 
vase	[vɑ:z, veɪs] n. 装饰瓶，花瓶 
vast	[væst, vɑ:st] adj. 广阔的;巨大的 n. 浩瀚;广大无边的空间 
vegetable	[ˈvɛdʒtəbəl, ˈvɛdʒɪtə-, ˈvedʒtəbl] n. 蔬菜;植物人 adj. 蔬菜的;植物的 
vehicle	[ˈvi:əkl, ˈvi:hɪkl] n. 车辆 
veil	[vel, veɪl] n. 面纱;掩饰 vt. 用面纱遮盖;掩饰 
velocity	[vəˈlɒsəti, vəˈlɑ:səti] n. 速率，速度 
venture	[ˈvɛntʃɚ, ˈventʃə(r)] n. 冒险 vt. 冒…的危险 vi. 冒险前进，冒险行事 
verb	[vɜ:b, vɜ:rb] n. 动词 
verbal	[ˈvɜ:rbl, ˈvɜ:bl] adj. 口头的 
verge	[vɜ:dʒ, vɜ:rdʒ] n. 边，边缘;界限 vi. 接近，逼近;处于边沿或边缘 
very	[ˈveri, ˈvɛri] adj. 很，非常;恰好是，正是 adv. 很，非常;充分，完全 
vessel	[ˈvesl, ˈvɛsəl] n. 容器 
veto	[ˈvi:toʊ, ˈvi:təʊ] n. 行使否决权 vt. 否决，不同意 vi. 否决 
via	[ˈvaɪə, ˈvaɪə, ˈviə] prep. 经过 
vice	[vaɪs] n. 恶习 prep. 代替 adj. 副的 vt. 用老虎钳夹紧 
victim	[ˈvɪktɪm] n. 牺牲者，受害者 
victory	[ˈvɪktəri] n. 胜利 
video	[ˈvɪdioʊ, ˈvɪdiəʊ] n. 磁带录像 adj. 视频的 vt. 录像 
view	[vju, vju:] n. 看法;风景 vt. 看;看待 
village	[ˈvɪlɪdʒ] n. 村民 
vinegar	[ˈvɪnɪgə(r), ˈvɪnɪɡɚ] n. 醋 
violence	[ˈvaɪələns] n. 暴力，强暴，暴虐 
violent	[ˈvaɪələnt] adj. 暴力引起的 
violet	[ˈvaɪələt, ˈvaɪəlɪt] n. 紫罗兰;蓝紫色，紫罗兰色 adj. 紫罗兰色的;蓝紫色的 
violin	[ˌvaɪəˈlɪn] n. 小提琴 
virus	[ˈvaɪrəs] n. 病毒 
visible	[ˈvɪzəbl, ˈvɪzəbəl] adj. 看得见的 
vision	[ˈvɪʒn, ˈvɪʒən] n. 视力，视觉;美景，绝妙的东西 vt. 在幻觉中看到;幻想，想象 
visit	[ˈvɪzɪt] vt.&vi. 访问 vi. 作客 n. 访问，参观 vt. 拜访，参观 
visitor	[ˈvɪzɪtə(r), ˈvɪzɪtɚ] n. 游客 
vital	[ˈvaɪtl, 'vaɪtl] adj. 至关重要的 
vocabulary	[vəˈkæbjəleri, vəˈkæbjələri] n. （某一语言的）词汇 
vocation	[voʊˈkeɪʃn, vəʊˈkeɪʃn] n. 职业，使命 
volleyball	[ˈvɒlibɔ:l, ˈvɑ:libɔ:l] n. 排球（运动） 
volume	[ˈvɒlju:m, ˈvɑ:lju:m] n. 体积 adj. 大量的 vi. 成团卷起 vt. 把…收集成卷 
volunteer	[ˌvɒlənˈtɪə(r), ˌvɑ:lənˈtɪr] n. 志愿者，志愿兵 adj. 自愿的，志愿的 vt.&vi. 自愿去做 vi. 志愿，义务服务 vt. 志愿提供 
vote	[voʊt, vəʊt] v. 投票表决;投票，选举 n. 投票权;投票，表决 
voyage	[ˈvɔɪɪdʒ] n. 旅程 vi. 航行，旅行 vt. 驶过，横越 
wage	[weɪdʒ, wedʒ] n. 工资;报应 vt.&vi. 实行，进行，作（战等）;〈方〉雇佣 
wagon	[ˈwægən, ˈwæɡən] n. 四轮的运货马车 vt. 用运货马车运输货物 na. “waggon”的变体 
waist	[west, weɪst] n. 腰，腰部 
wait	[weɪt, wet] vt.&vi. 等待 vi. 准备妥 vt. 推迟，搁置，延缓 
waiter	[ˈwetɚ, ˈweɪtə(r)] n. 服务员 
waitress	[ˈwetrɪs, ˈweɪtrəs] n. 女服务员;女侍者 vi. 做女服务员 
wake	[weɪk, wek] vi. 醒，醒来 vt. 激发，唤醒 n. 守灵，守夜 
waken	[ˈwekən, ˈweɪkən] vi. 醒来 vt. 唤醒，弄醒 vt.&vi. 激发 v. 振起，鼓励 
walk	[wɔ:k, wɔk] vt.&vi. 走 n. 步行 vi. 行走 vt. 牵着（动物）走，遛，赶着…走 
wall	[wɔ:l, wɔl] n. 墙 vt.&vi. 筑墙围住，用墙隔开 adj. 墙壁的 
wallet	[ˈwɒlɪt, ˈwɑ:lɪt] n. 钱包，皮夹子 
wander	[ˈwɑ:ndə(r), ˈwɒndə(r)] vt. 漫步，漫游 vi. 游荡，漫游，闲逛，慢走，漫步 n. 游荡 
want	[wɑ:nt, wɒnt] v. 想要;希望 n. 需要的东西;缺少 
war	[wɔ:(r), wɔr] n. 战争;战争期间 vi. 进行战斗，作战;同…处于交战状态 
warm	[wɔ:rm, wɔ:m] adj. 热情的 vt.&vi. （使）变暖，被加热，暖和起来 vt. 加热 n. 暖和的地方 vi. 加温 
warn	[wɔ:rn, wɔ:n] vt. 警告，告诫;通知 vi. 发出警告 
wash	[wɑ:ʃ, wɒʃ] vt. 洗，清洗 vi. 耐洗 n. （尤指船过后划出的）水流 vt. 弄湿 adj. 可洗的，耐洗的 
waste	[west, weɪst] n. 浪费，白费，挥霍钱财 vt.&vi. 浪费 vt. 破坏 adj. 废弃的， 无用的， 荒芜的 
watch	[wɒtʃ, wɑ:tʃ] vt. 注视，注意 n. 表 vi. 观看 
water	[ˈwɔtɚ, ˈwɑtɚ, ˈwɔ:tə(r)] n. 水;海水 v. 给…浇水;供以水 
wave	[weɪv, wev] n. 挥手 vi. 摇摆，起伏 vt.&vi. （一端固定地）飘扬 vt. 挥手表示 
wax	[wæks] n. 蜡，蜡状物 vt. 给…打蜡，给…上蜡 vi. 给…上蜡，给…涂蜡 adj. 蜡制的，似蜡的 
way	[weɪ, we] n. 道路;方法 adv. 远远地，大大地 
we	[wi] pron. 我们，咱们 
weak	[wi:k, wik] adj. 柔弱的，虚弱的 
weakness	[ˈwiknɪs, ˈwi:knəs] n. 弱点，缺点 
wealth	[welθ, wɛlθ] n. 财产，财富 
weapon	[ˈwepən, ˈwɛpən] n. 武器，兵器 vi. 武装，提供武器 
wear	[weə(r), wer] vt. 磨损 vi. 耐用 n. 穿着 
weary	[ˈwɪəri, ˈwɪri] adj. 疲倦的 vt.&vi. （使）疲乏，（使）厌烦 v. 疲倦，疲乏 
weather	[ˈwɛðɚ, ˈweðə(r)] n. 天气， 气象 vt.&vi. 晒干， 风化 vt. 平安渡过， 挨过 
weave	[wi:v, wiv] vt.&vi. 编，织 vt. 编排 vi. 纺织，织布 n. 织物 
wedding	[ˈwedɪŋ, ˈwɛdɪŋ] n. 婚礼 vt. 与…结婚 vi. 婚礼 
Wednesday	[ˈwɛnzdi, -ˌde, ˈwenzdeɪ] n. 星期三 
weed	[wi:d, wid] n. 杂草 vt. 给…除杂草 vi. 除草 
week	[wi:k, wik] n. 一星期，周 
weekday	[ˈwi:kdeɪ, ˈwikˌde] n. 工作日 
